adduct,mz,rt QE,name,Formula
M+H-H2O,145.0495,3.01,3-HYDROXY-3-METHYLGLUTARATE-H2O,C6H10O5
M+H,154.0499,6.64,3-HYDROXYANTHRANILATE,C7H7NO3
M+H-H2O,136.0393,6.64,3-HYDROXYANTHRANILATE-H2O,C7H7NO3
M+H-NH3,137.0233,6.64,3-HYDROXYANTHRANILATE-NH3,C7H7NO3
M+H,123.0441,8.96,3-HYDROXYBENZALDEHYDE,C7H6O2
M+H-H2O,107.0491,7.32,3-HYDROXYBENZYL ALCOHOL-H2O,C7H8O2
M+H,105.0546,7.79,3-HYDROXYBUTANOIC ACID,C4H8O3
M+H-H2O,87.0441,7.79,3-HYDROXYBUTANOIC ACID-H2O,C4H8O3
M+H,360.2744,11.66,3-HYDROXYDODECANOYL CARNITINE,C19H37NO5
M+Na,382.2564,11.66,3-HYDROXYDODECANOYL CARNITINE+Na,C19H37NO5
M+H-H2O,342.2639,12.84,3-HYDROXYDODECANOYL CARNITINE-water,C19H37NO5
M+H,416.337,14.27,3-HYDROXYHEXADECANOYLCARNITINE,C23H45NO5
M+Na,438.319,12.96,3-HYDROXYHEXADECANOYLCARNITINE+Na,C23H45NO5
M+H,225.087,3.16,3-HYDROXYKYNURENINE,C10H12N2O4
M+Na,247.0689,3.16,3-HYDROXYKYNURENINE+Na,C10H12N2O4
M+H-NH3,208.0604,3.16,3-HYDROXYKYNURENINE-NH3,C10H12N2O4
M+H-H2O,135.0441,6.07,3-HYDROXYPHENYLACETATE-H2O,C8H8O3
M+H,176.0706,9.87,3-INDOLEACETATE,C10H9NO2
M+Na,221.042,5.25,3-METHOXY-4-HYDROXYMANDELATE+Na,C9H10O5
M+H-H2O,181.0495,5.25,3-METHOXY-4-HYDROXYMANDELATE-H2O,C9H10O5
M+H,212.0917,6.29,3-METHOXY-L-TYROSINE,C10H13NO4
M+K,250.0476,6.29,3-METHOXY-L-TYROSINE+K,C10H13NO4
M+Na,234.0737,6.29,3-METHOXY-L-TYROSINE+Na,C10H13NO4
M+H-NH3,195.0652,6.29,3-METHOXY-L-TYROSINE-NH3,C10H13NO4
M+H,168.1019,6.58,3-METHOXYTYRAMINE,C9H13NO2
M+H-NH3,151.0754,6.58,3-METHOXYTYRAMINE-NH3,C9H13NO2
M+H,147.0652,7.13,3-METHYGLUTARIC ACID,C6H10O4
M+Na,169.0471,7.13,3-METHYGLUTARIC ACID+Na,C6H10O4
M+H-H2O,129.0546,7.13,3-METHYGLUTARIC ACID-NH3,C6H10O4
M+H,148.0757,9.62,3-METHYL-2-OXINDOLE,C9H9NO
M+H,150.0774,2.06,3-METHYLADENINE,C6H7N5
M+Na,172.0594,2.06,3-METHYLADENINE+Na,C6H7N5
M+H,158.08118,6.994,3-METHYLCROTONYLGLYCINE,C7H11NO3
M+H,126.1026,0.61,3-METHYLHISTAMINE,C6H11N3
M+Na,148.0845,0.61,3-METHYLHISTAMINE+Na,C6H11N3
